#      Train        Test
    0.275766     0.390152 
    0.451253     0.397727 
    0.514392     0.496212 
     0.58403     0.564394 
    0.575673     0.621212 
    0.582173     0.575758 
    0.617456     0.628788 
    0.631383          0.5 
     0.64624     0.579545 
    0.656453     0.632576 
    0.675023     0.564394 
    0.671309     0.659091 
    0.688951     0.632576 
    0.677809      0.69697 
    0.680594     0.575758 
    0.678737     0.689394 
    0.689879     0.693182 
    0.700093     0.681818 
    0.699164     0.704545 
     0.70195     0.666667 
    0.694522     0.636364 
    0.703807     0.700758 
    0.710306     0.666667 
    0.728877     0.719697 
    0.705664     0.662879 
    0.752089        0.625 
    0.743733     0.689394 
    0.721448     0.746212 
    0.736305     0.640152 
    0.740947     0.681818 
    0.752089        0.625 
    0.730734         0.75 
    0.753018     0.655303 
    0.758589     0.689394 
    0.760446     0.727273 
     0.76416     0.659091 
    0.758589     0.666667 
    0.762303     0.727273 
    0.778087     0.746212 
    0.784587     0.795455 
     0.77623     0.734848 
    0.771588     0.727273 
      0.7948      0.69697 
    0.805014     0.746212 
      0.7948     0.742424 
    0.806871     0.674242 
      0.7948     0.734848 
    0.809656     0.818182 
    0.824513     0.761364 
    0.821727     0.814394 
    0.818013     0.753788 
    0.844011     0.731061 
     0.85701     0.837121 
    0.854225     0.731061 
    0.871866     0.768939 
    0.860724     0.776515 
    0.872795        0.875 
    0.872795     0.784091 
    0.878366     0.844697 
    0.887651     0.738636 
     0.87558     0.829545 
    0.871866     0.852273 
    0.879294     0.791667 
    0.888579     0.799242 
    0.878366     0.840909 
    0.880223     0.806818 
    0.904364     0.837121 
    0.895079     0.852273 
    0.905292     0.791667 
    0.911792     0.825758 
    0.890436     0.867424 
    0.884865     0.818182 
    0.906221     0.863636 
    0.905292     0.878788 
    0.905292     0.863636 
    0.898793     0.897727 
    0.901578     0.878788 
    0.907149     0.893939 
    0.913649     0.882576 
    0.905292     0.806818 
    0.912721     0.837121 
    0.910864     0.897727 
    0.905292     0.765152 
    0.910864     0.806818 
    0.916435     0.844697 
    0.909935     0.871212 
    0.905292     0.833333 
    0.909935     0.856061 
    0.907149     0.867424 
    0.918292     0.848485 
    0.906221     0.882576 
    0.920149     0.863636 
    0.920149     0.886364 
    0.910864     0.863636 
    0.923863     0.856061 
    0.922006     0.848485 
    0.926648     0.859848 
    0.922934     0.867424 
    0.911792     0.901515 
    0.920149     0.882576 
    0.928505        0.875 
    0.918292     0.818182 
    0.927577     0.867424 
    0.928505     0.878788 
    0.918292     0.878788 
    0.935933     0.890152 
    0.933148     0.837121 
    0.918292     0.848485 
    0.928505     0.844697 
    0.921077     0.905303 
     0.93779     0.863636 
    0.936862     0.818182 
    0.933148     0.878788 
    0.929434     0.882576 
    0.933148     0.852273 
    0.929434     0.886364 
    0.924791     0.878788 
    0.928505     0.871212 
    0.946147     0.867424 
    0.938719        0.875 
    0.941504     0.890152 
    0.930362     0.848485 
    0.930362     0.882576 
    0.934076     0.840909 
    0.943361     0.856061 
    0.935933     0.871212 
    0.940576     0.871212 
    0.935005     0.867424 
    0.950789        0.875 
    0.943361     0.859848 
    0.923863     0.856061 
    0.942433     0.863636 
    0.957289     0.829545 
    0.939647     0.863636 
    0.945218     0.882576 
    0.938719     0.859848 
    0.945218     0.859848 
    0.946147     0.882576 
     0.93779     0.882576 
    0.939647     0.878788 
    0.948004     0.882576 
     0.93779     0.871212 
    0.934076     0.867424 
    0.935933     0.844697 
    0.948932     0.886364 
    0.931291     0.878788 
    0.934076     0.878788 
    0.935933     0.901515 
    0.953575     0.837121 
     0.93779     0.844697 
    0.947075     0.848485 
    0.948004     0.890152 
     0.94429     0.901515 
    0.953575     0.882576 
    0.945218     0.882576 
    0.948004     0.882576 
    0.940576     0.916667 
    0.949861     0.863636 
    0.941504     0.916667 
    0.960074     0.897727 
    0.949861     0.871212 
    0.948932     0.886364 
    0.941504     0.844697 
    0.939647     0.886364 
    0.957289     0.878788 
     0.94429     0.901515 
    0.938719     0.878788 
    0.945218     0.890152 
    0.948004     0.867424 
    0.949861        0.875 
    0.951718     0.901515 
     0.95636     0.867424 
    0.945218     0.890152 
    0.948932     0.886364 
    0.959146     0.867424 
    0.945218     0.886364 
    0.945218     0.878788 
    0.947075     0.852273 
    0.943361     0.867424 
    0.941504     0.897727 
    0.941504     0.886364 
    0.953575     0.878788 
    0.951718     0.863636 
    0.951718     0.905303 
    0.936862     0.859848 
    0.940576     0.901515 
    0.946147     0.893939 
    0.963788     0.882576 
    0.948004     0.867424 
    0.961931     0.897727 
    0.953575     0.893939 
    0.945218     0.901515 
    0.953575     0.878788 
    0.951718     0.912879 
    0.949861     0.882576 
    0.953575     0.844697 
    0.955432     0.844697 
    0.949861     0.882576 
    0.957289     0.852273 
    0.948932     0.852273 
    0.955432     0.909091 
    0.953575     0.878788 
    0.954503     0.882576 
    0.954503     0.890152 
    0.961931     0.916667 
    0.958217     0.890152 
    0.948004     0.909091 
    0.947075     0.912879 
    0.951718     0.905303 
    0.952646     0.901515 
    0.949861     0.859848 
    0.949861     0.893939 
    0.957289     0.909091 
    0.951718     0.897727 
    0.945218     0.863636 
    0.958217     0.890152 
     0.95636     0.909091 
    0.950789     0.886364 
    0.948932     0.905303 
    0.963788     0.871212 
    0.959146     0.905303 
    0.953575        0.875 
    0.953575     0.897727 
    0.957289     0.882576 
    0.950789     0.920455 
    0.949861     0.886364 
    0.948004     0.916667 
    0.951718     0.901515 
    0.952646     0.897727 
    0.967502     0.882576 
    0.954503     0.901515 
    0.954503     0.897727 
    0.957289     0.882576 
     0.95636     0.901515 
    0.947075     0.878788 
    0.958217     0.886364 
    0.951718     0.863636 
    0.961003        0.875 
     0.96286        0.875 
    0.955432     0.905303 
    0.951718     0.905303 
    0.960074     0.905303 
    0.973073     0.882576 
    0.954503     0.886364 
    0.960074     0.852273 
    0.961003     0.897727 
    0.961931     0.905303 
    0.958217     0.909091 
     0.96286     0.886364 
    0.963788     0.882576 
    0.951718     0.909091 
    0.957289     0.909091 
    0.961931     0.901515 
    0.960074     0.886364 
    0.946147     0.905303 
    0.961003     0.916667 
    0.955432     0.878788 
    0.960074     0.909091 
    0.957289     0.897727 
    0.961003     0.897727 
    0.965645     0.890152 
    0.960074     0.897727 
    0.960074     0.878788 
     0.95636     0.893939 
    0.959146     0.890152 
    0.950789     0.897727 
    0.965645     0.882576 
    0.958217     0.844697 
    0.955432     0.916667 
    0.951718     0.844697 
    0.968431     0.905303 
    0.968431     0.893939 
    0.955432     0.878788 
    0.971216     0.897727 
    0.967502     0.867424 
    0.963788     0.905303 
     0.96286     0.897727 
    0.951718     0.871212 
    0.952646     0.916667 
    0.954503     0.901515 
    0.959146     0.905303 
    0.958217     0.856061 
    0.957289     0.916667 
    0.959146     0.909091 
    0.954503     0.905303 
    0.963788     0.890152 
    0.957289     0.920455 
    0.964717     0.901515 
    0.947075     0.909091 
     0.96286     0.897727 
    0.958217     0.893939 
    0.971216     0.882576 
    0.963788        0.875 
    0.960074     0.897727 
    0.959146     0.901515 
    0.967502     0.905303 
    0.960074        0.875 
    0.961003     0.897727 
    0.963788     0.901515 
    0.961931     0.882576 
    0.969359     0.909091 
    0.976787     0.878788 
    0.960074     0.912879 
    0.963788     0.890152 
    0.968431     0.882576 
    0.970288     0.909091 
     0.96286     0.905303 
    0.965645     0.909091 
    0.967502     0.890152 
    0.965645     0.890152 
     0.97493     0.905303 
    0.961003     0.886364 
    0.953575     0.897727 
    0.971216     0.897727 
    0.969359     0.897727 
    0.964717     0.890152 
     0.96286     0.901515 
    0.961003     0.886364 
    0.961003     0.901515 
    0.963788     0.882576 
    0.952646     0.909091 
    0.964717     0.897727 
    0.961931     0.905303 
    0.961931     0.905303 
    0.972145     0.901515 
    0.972145     0.909091 
    0.961931     0.916667 
    0.961003     0.909091 
    0.961003     0.920455 
     0.95636      0.92803 
    0.968431     0.905303 
    0.961003     0.893939 
    0.961931     0.905303 
    0.967502     0.905303 
    0.968431     0.901515 
    0.968431     0.878788 
    0.958217     0.905303 
    0.963788     0.912879 
    0.965645     0.893939 
    0.966574     0.890152 
     0.96286     0.920455 
    0.969359     0.909091 
    0.972145     0.890152 
    0.965645     0.890152 
    0.965645     0.886364 
    0.961003     0.893939 
    0.971216     0.882576 
    0.970288     0.909091 
    0.949861     0.893939 
    0.972145     0.905303 
    0.974002     0.886364 
    0.966574     0.912879 
    0.972145     0.916667 
    0.966574     0.890152 
    0.968431     0.916667 
    0.971216     0.909091 
     0.97493     0.905303 
    0.968431     0.905303 
    0.969359     0.878788 
    0.978644     0.905303 
    0.972145        0.875 
    0.963788     0.886364 
     0.96286     0.905303 
    0.964717     0.916667 
    0.960074     0.905303 
    0.966574     0.901515 
    0.969359     0.916667 
    0.967502     0.886364 
    0.959146     0.912879 
    0.968431     0.912879 
    0.964717     0.882576 
    0.973073     0.905303 
    0.968431     0.905303 
    0.961003     0.920455 
    0.966574     0.920455 
    0.968431     0.909091 
    0.973073      0.92803 
    0.969359      0.92803 
    0.969359     0.878788 
    0.955432     0.897727 
    0.966574     0.912879 
    0.958217     0.882576 
    0.971216     0.897727 
    0.967502     0.912879 
    0.965645     0.909091 
    0.973073     0.882576 
    0.965645     0.897727 
    0.961003     0.905303 
    0.969359     0.931818 
    0.961931     0.909091 
    0.972145     0.905303 
    0.970288     0.901515 
    0.975859     0.924242 
    0.968431     0.890152 
    0.969359     0.916667 
    0.963788     0.905303 
    0.959146     0.901515 
    0.958217     0.901515 
    0.965645     0.897727 
    0.967502     0.920455 
    0.961931     0.920455 
    0.974002     0.901515 
    0.972145     0.920455 
     0.97493     0.909091 
    0.968431     0.912879 
    0.953575     0.924242 
     0.97493     0.909091 
    0.975859     0.920455 
    0.959146     0.901515 
    0.977716      0.92803 
    0.974002     0.912879 
    0.965645     0.882576 
    0.969359     0.909091 
    0.974002     0.935606 
    0.970288     0.924242 
    0.974002     0.916667 
    0.976787     0.916667 
    0.971216     0.909091 
    0.964717     0.924242 
    0.966574     0.916667 
    0.958217     0.901515 
    0.971216     0.909091 
    0.970288     0.897727 
    0.966574     0.924242 
    0.971216     0.886364 
    0.969359     0.905303 
    0.970288     0.912879 
    0.974002     0.916667 
    0.969359     0.909091 
     0.98143     0.901515 
    0.974002     0.920455 
    0.969359     0.905303 
    0.971216     0.912879 
    0.969359     0.909091 
    0.972145     0.893939 
    0.966574     0.905303 
    0.963788     0.920455 
    0.965645     0.878788 
    0.967502     0.909091 
    0.965645     0.897727 
    0.974002     0.893939 
    0.958217     0.893939 
     0.97493     0.893939 
    0.965645     0.901515 
    0.969359     0.924242 
    0.967502     0.897727 
    0.967502     0.916667 
    0.961003     0.893939 
    0.970288     0.920455 
     0.96286     0.897727 
    0.965645     0.912879 
    0.966574     0.893939 
    0.972145     0.916667 
    0.974002     0.886364 
    0.967502     0.890152 
    0.974002     0.905303 
    0.974002     0.916667 
    0.966574     0.890152 
    0.980501     0.897727 
    0.963788     0.916667 
    0.966574     0.912879 
    0.969359     0.897727 
    0.972145     0.909091 
    0.966574     0.901515 
    0.970288     0.912879 
    0.979573     0.909091 
    0.959146     0.912879 
     0.96286     0.909091 
    0.978644     0.905303 
    0.974002     0.912879 
    0.961003        0.875 
    0.973073     0.905303 
    0.970288     0.916667 
    0.979573     0.924242 
    0.964717     0.916667 
    0.974002     0.909091 
    0.967502     0.901515 
    0.965645     0.909091 
    0.969359     0.905303 
    0.965645     0.924242 
    0.964717     0.909091 
    0.973073     0.901515 
    0.978644     0.912879 
    0.968431     0.909091 
    0.971216     0.916667 
    0.966574     0.897727 
    0.973073     0.905303 
    0.961931      0.92803 
    0.973073     0.905303 
    0.964717     0.916667 
    0.961931     0.924242 
    0.967502     0.901515 
    0.968431     0.901515 
    0.965645        0.875 
    0.964717     0.905303 
    0.967502     0.901515 
    0.976787     0.920455 
    0.960074     0.916667 
    0.977716     0.890152 
    0.971216     0.924242 
    0.972145     0.924242 
     0.96286     0.912879 
     0.97493     0.920455 
    0.975859     0.920455 
    0.972145     0.909091 
    0.970288     0.916667 
    0.975859     0.912879 
    0.968431     0.916667 
    0.972145     0.893939 
    0.970288     0.893939 
    0.974002     0.916667 
     0.97493     0.912879 
    0.972145     0.924242 
     0.97493     0.920455 
    0.965645     0.901515 
    0.975859     0.924242 
    0.972145     0.909091 
    0.975859     0.916667 
    0.966574      0.92803 
    0.967502     0.920455 
    0.967502     0.890152 
    0.974002     0.916667 
    0.974002     0.935606 
    0.973073     0.920455 
    0.974002     0.912879 
    0.965645     0.909091 
    0.965645     0.909091 
    0.966574     0.916667 
    0.970288     0.924242 
     0.97493     0.905303 
    0.976787     0.916667 
    0.968431     0.920455 
    0.965645     0.931818 
    0.976787     0.924242 
     0.96286     0.920455 
    0.970288     0.916667 
    0.972145     0.909091 
    0.970288     0.924242 
     0.97493     0.905303 
    0.973073     0.909091 
    0.977716     0.924242 
    0.965645     0.920455 
    0.977716      0.92803 
     0.97493     0.920455 
    0.963788      0.92803 
    0.972145     0.916667 
    0.970288     0.939394 
    0.973073      0.92803 
    0.966574     0.924242 
    0.970288      0.92803 
    0.970288     0.916667 
    0.976787     0.916667 
    0.974002     0.909091 
    0.965645     0.943182 
    0.964717     0.924242 
    0.965645     0.920455 
    0.973073     0.924242 
    0.975859     0.916667 
    0.971216      0.92803 
    0.973073     0.924242 
    0.967502     0.897727 
    0.973073     0.931818 
     0.98143     0.916667 
    0.970288     0.920455 
    0.980501     0.931818 
    0.969359      0.92803 
    0.978644      0.92803 
    0.974002     0.931818 
    0.968431     0.935606 
    0.970288     0.943182 
    0.974002     0.878788 
    0.971216     0.924242 
    0.969359     0.939394 
    0.976787     0.924242 
    0.975859     0.939394 
    0.968431     0.920455 
     0.97493     0.924242 
     0.97493      0.92803 
    0.977716     0.920455 
    0.968431     0.905303 
    0.973073     0.905303 
    0.972145     0.924242 
    0.970288     0.935606 
    0.968431      0.92803 
    0.969359     0.916667 
    0.963788     0.924242 
    0.971216     0.924242 
    0.980501     0.931818 
    0.975859     0.916667 
    0.971216      0.92803 
    0.974002     0.935606 
    0.970288     0.939394 
    0.976787     0.882576 
     0.97493     0.909091 
    0.970288      0.92803 
    0.983287     0.924242 
    0.980501     0.931818 
    0.973073     0.905303 
    0.976787     0.920455 
     0.96286     0.924242 
    0.968431     0.924242 
    0.964717     0.931818 
    0.971216     0.924242 
    0.974002     0.920455 
    0.974002     0.912879 
    0.972145     0.931818 
    0.968431      0.92803 
    0.973073     0.924242 
     0.97493     0.931818 
     0.98143     0.924242 
    0.973073     0.931818 
    0.969359     0.916667 
    0.965645     0.931818 
    0.966574     0.924242 
    0.968431     0.924242 
    0.980501     0.916667 
    0.977716     0.916667 
    0.975859     0.916667 
    0.971216     0.924242 
    0.978644     0.920455 
    0.975859     0.931818 
    0.975859     0.931818 
    0.969359     0.924242 
    0.973073      0.92803 
    0.973073     0.924242 
