#      Train        Test
     12.1389       9.5464 
     7.72658      7.83121 
     6.97614      7.47329 
     6.43829      7.12501 
     6.19614      6.19756 
     6.06004      6.24591 
     5.68618      6.07292 
     5.53523      6.91847 
     5.49187      5.91024 
     5.39684      5.89815 
     5.17344       6.1825 
     5.05427      5.42765 
     5.13786      5.85729 
     4.93343      5.19796 
     4.90102      6.00975 
     5.00445      5.63199 
     4.79189       5.1334 
     4.72172      5.33884 
     4.64425      5.33093 
     4.65534      5.09309 
     4.59573      5.78131 
     4.65113      4.86451 
     4.61284      5.16053 
     4.38319      5.28752 
     4.54944      5.64304 
     4.37688      5.28758 
      4.4241       5.4188 
     4.30204      4.77202 
     4.35253      5.24038 
     4.34007       5.2159 
     4.24896      5.75442 
     4.34439      4.91026 
     4.14651       5.6859 
     4.24654      5.84529 
     4.20671      4.88367 
     4.11662      5.44902 
     4.16624      5.19036 
       4.138      5.05729 
     4.02095       4.8388 
     4.05029       4.6508 
     4.03366      4.88038 
     4.08379      5.07239 
     4.00227        5.297 
     3.84813      4.95535 
     3.85271      5.11263 
     3.79109      5.52578 
     3.86031      4.94892 
     3.77491      4.10141 
     3.72903      4.83472 
      3.7511       4.6596 
     3.74891      4.68191 
     3.50939        5.116 
     3.45563      4.30323 
     3.40774      4.92175 
     3.22814      4.58306 
      3.2773       4.9468 
     3.23432      3.76394 
     3.17712      4.79558 
     3.06783       4.2515 
     3.08254      4.95233 
     3.15704      3.98014 
     3.05044      3.69572 
     2.99727      4.80719 
     2.94154      4.16884 
     2.94835      3.80905 
     2.94022      4.31894 
     2.85766      3.88954 
     2.91654      3.61996 
     2.75763      4.48223 
     2.64639      4.07997 
      2.7458      3.73534 
     2.83877      4.19803 
     2.69136      3.44133 
     2.67009      3.22517 
     2.66381      3.51088 
     2.66715      3.05766 
     2.63357      3.28953 
     2.61452      3.29456 
     2.55546      3.39713 
     2.68431      4.29715 
     2.52832      3.90662 
     2.62032      3.17075 
     2.58448      4.86071 
     2.59697      4.31511 
     2.55508       4.4363 
     2.54466      3.50804 
     2.49892      4.17607 
     2.44766      4.14372 
     2.48914      3.77036 
     2.40822      4.14505 
     2.46257      3.78216 
     2.42757      3.64034 
     2.26664      3.65272 
     2.38941      3.43629 
     2.28918      3.93368 
     2.37221      3.92876 
     2.30685      3.94739 
     2.29129      3.71024 
     2.45273      3.51671 
     2.31551      3.77656 
     2.15328      4.06547 
     2.21741      4.49785 
     2.27786      3.74104 
     2.27086      3.75329 
     2.16583       3.7982 
     2.03842      3.75762 
     2.12039      4.42119 
     2.25066      3.84597 
     2.04481       4.3148 
     2.17828      3.56333 
     2.01176      4.16519 
      2.0375      4.92932 
     2.05267      4.00468 
     2.06993      3.94868 
     1.99657      4.51868 
     2.00116      4.06439 
     2.05037      3.97053 
     2.12111      3.83519 
     1.96105      4.11821 
     1.94969      4.13989 
     1.93359      4.42067 
     2.00369      4.85148 
     1.98149      3.78903 
     1.99835      4.38532 
     1.83921      4.23711 
      2.0508      4.26556 
     1.93801      4.34897 
     1.91198      4.73813 
     1.86313       3.8428 
     1.79865      4.35909 
     1.93983      3.86886 
     1.86414       4.0119 
     1.72366      4.26966 
     1.91248      4.36567 
     1.83942      3.99212 
     1.87988       4.0338 
     1.82115      4.45117 
     1.81567      4.25781 
     1.87199       3.8442 
     1.83759      4.29703 
     1.75423      3.95662 
     1.87319      4.16509 
     1.83203      4.17556 
     1.86364      4.65235 
     1.75945       4.0781 
     1.85754      4.37435 
     1.85574      4.22072 
     1.82289      3.89375 
     1.73812      4.95326 
     1.71264      4.21341 
