#      Train        Test
    0.313835     0.416667 
    0.460539     0.515152 
    0.500464     0.507576 
    0.535747     0.439394 
    0.550604     0.568182 
    0.576602     0.556818 
    0.572888     0.659091 
    0.595172     0.590909 
    0.611885     0.643939 
    0.623027     0.609848 
    0.623027     0.587121 
    0.643454      0.57197 
    0.651811     0.628788 
    0.638812     0.662879 
    0.679666     0.681818 
    0.677809     0.681818 
    0.681523     0.670455 
    0.656453      0.69697 
    0.693593     0.621212 
    0.694522     0.727273 
    0.699164     0.693182 
    0.725162     0.681818 
    0.705664     0.712121 
     0.72052     0.606061 
    0.711235     0.655303 
    0.734448     0.700758 
    0.729805     0.731061 
     0.71402     0.674242 
    0.728877     0.723485 
    0.748375     0.772727 
    0.754875     0.791667 
    0.766017     0.757576 
    0.783658     0.719697 
    0.779944     0.814394 
    0.786444     0.799242 
    0.797586     0.799242 
     0.81337     0.761364 
    0.800371     0.818182 
    0.809656     0.757576 
    0.797586     0.795455 
    0.809656     0.806818 
    0.807799     0.806818 
    0.805014     0.818182 
    0.824513     0.840909 
    0.822656     0.837121 
    0.824513     0.787879 
    0.842154     0.810606 
    0.831941     0.795455 
    0.816156     0.795455 
     0.82637     0.765152 
    0.821727     0.829545 
    0.833798     0.833333 
    0.827298      0.80303 
    0.830084     0.810606 
     0.83844     0.776515 
    0.840297     0.814394 
    0.841226     0.746212 
    0.839369     0.795455 
    0.841226     0.837121 
    0.841226     0.818182 
    0.846797     0.776515 
    0.832869     0.829545 
    0.840297     0.791667 
    0.842154      0.82197 
    0.842154     0.814394 
    0.844011      0.80303 
    0.841226     0.833333 
    0.829155     0.833333 
    0.841226     0.825758 
    0.845868     0.814394 
    0.832869     0.844697 
    0.858867     0.833333 
    0.857939     0.814394 
     0.84494     0.810606 
    0.848654      0.80303 
    0.866295     0.795455 
    0.851439     0.833333 
    0.849582     0.844697 
    0.847725     0.818182 
    0.849582      0.80303 
    0.847725     0.810606 
    0.859796     0.840909 
     0.86351      0.80303 
    0.855153      0.82197 
    0.854225      0.80303 
    0.846797     0.829545 
    0.861653     0.825758 
    0.854225     0.818182 
    0.854225     0.840909 
    0.859796     0.768939 
    0.850511     0.833333 
    0.849582     0.848485 
    0.849582     0.840909 
    0.839369     0.818182 
    0.853296     0.795455 
    0.865367     0.810606 
    0.864438     0.799242 
    0.849582      0.80303 
    0.872795     0.806818 
    0.859796     0.757576 
    0.858867     0.791667 
    0.913649     0.859848 
     0.92572     0.818182 
    0.921077     0.863636 
    0.936862     0.856061 
    0.930362     0.825758 
    0.928505     0.890152 
    0.935005     0.882576 
    0.928505     0.882576 
    0.926648     0.844697 
    0.931291     0.852273 
    0.939647     0.848485 
    0.934076     0.840909 
    0.935005     0.829545 
    0.933148        0.875 
    0.935005        0.875 
    0.952646     0.882576 
    0.938719     0.859848 
     0.94429     0.867424 
    0.939647     0.848485 
    0.936862     0.886364 
    0.942433     0.867424 
    0.946147     0.844697 
    0.950789     0.852273 
    0.948932     0.848485 
    0.946147     0.878788 
    0.949861     0.833333 
    0.945218     0.852273 
    0.952646     0.882576 
    0.945218     0.859848 
    0.927577     0.859848 
    0.938719     0.859848 
    0.942433     0.840909 
    0.950789     0.848485 
    0.948004     0.893939 
    0.951718     0.871212 
    0.941504     0.837121 
    0.954503     0.852273 
    0.957289     0.882576 
    0.951718     0.844697 
    0.948004     0.905303 
    0.948932     0.863636 
    0.949861     0.867424 
    0.949861     0.890152 
     0.95636     0.897727 
    0.941504     0.840909 
    0.949861     0.840909 
    0.959146     0.848485 
    0.959146     0.859848 
    0.948004     0.859848 
    0.960074        0.875 
    0.953575     0.871212 
    0.949861     0.878788 
    0.953575     0.890152 
    0.948004     0.852273 
    0.948004     0.905303 
    0.959146     0.897727 
    0.947075     0.882576 
    0.953575        0.875 
    0.946147     0.867424 
    0.955432     0.901515 
    0.953575     0.867424 
    0.955432     0.871212 
    0.963788     0.886364 
    0.950789     0.912879 
    0.952646     0.863636 
    0.961931     0.882576 
    0.955432     0.863636 
    0.948932     0.856061 
    0.954503     0.897727 
    0.968431     0.897727 
    0.961003     0.825758 
    0.958217        0.875 
    0.957289     0.867424 
    0.961931        0.875 
    0.960074        0.875 
     0.94429     0.863636 
    0.950789     0.871212 
     0.94429     0.825758 
    0.961003     0.886364 
    0.961003     0.844697 
    0.959146     0.901515 
    0.968431     0.871212 
    0.960074     0.871212 
    0.953575     0.844697 
    0.965645     0.863636 
    0.953575     0.848485 
     0.96286     0.901515 
    0.961003        0.875 
    0.967502     0.912879 
    0.964717     0.878788 
    0.952646     0.863636 
    0.969359     0.882576 
    0.955432     0.886364 
     0.96286     0.859848 
     0.96286     0.856061 
    0.961931     0.844697 
    0.959146     0.893939 
    0.960074     0.848485 
    0.968431     0.893939 
    0.967502     0.852273 
    0.960074     0.871212 
     0.96286     0.901515 
    0.961931     0.886364 
    0.971216     0.920455 
    0.971216     0.893939 
    0.965645     0.886364 
    0.967502     0.852273 
    0.963788     0.871212 
    0.959146     0.859848 
    0.952646     0.867424 
    0.958217     0.878788 
     0.96286     0.886364 
    0.963788     0.897727 
    0.965645     0.897727 
    0.957289     0.909091 
    0.971216     0.890152 
    0.969359     0.863636 
    0.957289     0.863636 
    0.963788     0.916667 
    0.968431     0.893939 
     0.96286     0.871212 
    0.968431     0.909091 
    0.968431     0.905303 
    0.959146     0.886364 
    0.961931     0.886364 
    0.965645     0.863636 
    0.957289     0.905303 
    0.963788     0.878788 
     0.95636     0.886364 
    0.966574     0.871212 
    0.967502     0.878788 
    0.971216     0.886364 
    0.970288     0.901515 
    0.975859     0.905303 
    0.972145     0.909091 
    0.958217     0.878788 
    0.966574     0.886364 
    0.963788     0.886364 
    0.964717     0.901515 
    0.966574     0.893939 
    0.959146     0.882576 
    0.971216        0.875 
    0.966574     0.863636 
    0.955432     0.905303 
    0.967502     0.871212 
    0.968431     0.912879 
    0.967502     0.886364 
    0.959146     0.909091 
    0.966574     0.856061 
    0.966574     0.912879 
    0.972145     0.878788 
    0.971216     0.852273 
    0.970288        0.875 
    0.966574     0.897727 
     0.96286     0.878788 
    0.971216     0.878788 
     0.96286     0.886364 
     0.95636     0.897727 
    0.967502        0.875 
    0.974002     0.897727 
    0.966574     0.871212 
    0.967502     0.893939 
    0.968431     0.912879 
     0.96286     0.871212 
    0.967502     0.863636 
     0.97493     0.867424 
    0.973073     0.893939 
    0.971216     0.893939 
    0.970288     0.852273 
     0.96286        0.875 
    0.968431     0.897727 
    0.966574     0.882576 
     0.97493     0.882576 
    0.968431     0.912879 
    0.967502     0.897727 
    0.967502     0.867424 
    0.974002     0.905303 
    0.961931     0.905303 
    0.967502     0.897727 
    0.970288     0.867424 
    0.971216     0.893939 
    0.974002     0.897727 
    0.968431        0.875 
    0.963788     0.890152 
    0.973073     0.886364 
    0.978644     0.893939 
    0.964717     0.878788 
    0.971216     0.878788 
    0.968431     0.905303 
    0.973073     0.901515 
     0.97493     0.882576 
    0.968431     0.871212 
    0.968431     0.893939 
    0.976787     0.863636 
    0.979573     0.890152 
    0.977716     0.912879 
    0.973073     0.905303 
    0.969359     0.909091 
    0.961931     0.912879 
    0.976787     0.890152 
    0.970288     0.856061 
    0.971216     0.897727 
    0.978644     0.882576 
    0.973073     0.867424 
    0.968431     0.863636 
     0.97493     0.905303 
    0.968431     0.901515 
    0.966574     0.863636 
    0.961931     0.871212 
    0.966574     0.920455 
     0.96286        0.875 
    0.966574     0.905303 
    0.969359     0.863636 
    0.966574     0.901515 
    0.972145     0.893939 
    0.973073     0.901515 
    0.974002     0.882576 
    0.974002     0.897727 
    0.975859     0.893939 
    0.969359     0.901515 
    0.966574     0.905303 
    0.975859     0.920455 
    0.974002     0.912879 
    0.968431     0.920455 
    0.974002     0.912879 
    0.982358     0.912879 
    0.976787     0.893939 
    0.974002     0.916667 
    0.973073     0.893939 
    0.972145     0.931818 
    0.974002     0.916667 
    0.968431      0.92803 
    0.966574     0.905303 
    0.967502     0.893939 
    0.973073     0.905303 
    0.977716     0.897727 
    0.978644     0.905303 
    0.974002     0.897727 
    0.977716     0.886364 
    0.973073      0.92803 
    0.971216     0.920455 
    0.963788     0.897727 
    0.964717     0.882576 
    0.974002     0.916667 
    0.976787     0.916667 
    0.984215     0.890152 
    0.968431     0.856061 
     0.97493     0.897727 
     0.97493     0.897727 
    0.972145     0.909091 
    0.971216     0.912879 
    0.980501     0.909091 
    0.967502     0.916667 
    0.979573     0.912879 
    0.970288     0.924242 
    0.971216     0.916667 
     0.97493     0.893939 
    0.973073     0.897727 
    0.972145     0.920455 
    0.969359     0.920455 
    0.980501     0.909091 
    0.967502     0.893939 
    0.975859     0.890152 
    0.972145        0.875 
     0.98143     0.882576 
    0.964717     0.920455 
    0.968431     0.924242 
    0.977716     0.897727 
    0.976787     0.912879 
    0.976787     0.920455 
    0.972145     0.905303 
