#      Train        Test
     13.8219      11.9249 
     10.9432      10.2602 
     9.58198      9.68083 
     9.31002      9.97163 
     9.16661      9.03896 
     8.95546       9.0062 
     8.78307       8.7584 
     8.60188      8.92467 
     8.45459      8.50751 
     8.28603      8.51378 
     8.27161      8.77795 
     8.16019      8.79553 
     8.06756      8.52367 
     8.05609      8.63058 
     7.92483      7.99965 
     7.71608      7.92169 
     7.76572      8.14425 
     7.86202      7.87585 
     7.53003      8.53452 
      7.4765      7.62437 
     7.51995      7.81395 
     7.32375      7.87077 
     7.35882      7.51442 
     7.18965      8.18216 
     7.24135      7.82659 
     7.12261      7.54373 
      7.0374      7.19068 
     7.24589       8.0325 
     7.14677       7.1932 
     6.41387       6.0151 
     5.69001      5.89125 
     5.44637      6.36178 
        5.26      6.17806 
     5.36016      5.47278 
     5.23585      5.59883 
     5.15585      5.39713 
     4.99386      5.52267 
     5.06521      5.20014 
     4.98449      5.69017 
     5.10256      5.47995 
     5.04184      5.14471 
      4.9017      5.14944 
     4.98607      5.00098 
     4.84839      4.99341 
     4.79297      4.84182 
     4.73722      5.25503 
     4.64866      4.93587 
     4.65284      5.10155 
     4.82853      5.35973 
     4.75811      5.55054 
     4.70282      5.05081 
     4.64309      5.14301 
     4.77091      4.97289 
     4.63397      5.16251 
     4.55568      5.31543 
     4.54223      4.99953 
     4.50061      5.69574 
     4.64201      5.24302 
      4.5548      4.97079 
     4.42341      5.01113 
     4.46966      5.63039 
     4.51182      5.00226 
      4.3786      5.10359 
     4.45355      4.81377 
     4.47137      5.18888 
     4.44572      5.37628 
     4.37887      4.67556 
     4.43274      4.86003 
     4.36414      4.89548 
     4.26747      4.84144 
     4.39717      4.65529 
     4.32477      4.91435 
     4.21304      4.83884 
     4.37695      4.92352 
     4.26263      5.03943 
     4.13027       4.8384 
     4.29749      4.67767 
     4.25231       4.5233 
     4.25171      4.68738 
     4.16546      4.91043 
     4.26022      4.78654 
     4.17154      4.88746 
     4.10559       5.0212 
      4.1696      4.70467 
     4.14877        4.993 
     4.19578       4.5962 
     4.06411      4.94488 
     4.09264      4.94604 
     4.10357      4.73977 
     3.96451      5.49512 
     4.21069      5.08886 
     4.02592      5.04742 
     4.06792      4.98054 
     4.09762      5.26596 
     4.04731      6.27548 
     3.82922      5.83227 
     3.83868      5.82784 
     3.96217      5.81478 
     3.83686      5.70996 
     3.92733      6.27263 
     3.85513       6.0006 
     2.40502      4.42742 
      2.1838      5.41976 
     2.16842      4.43733 
     2.01566      4.79355 
     2.04437      4.87701 
     2.04506       4.4694 
      1.9762      4.59142 
      2.0372      4.79929 
     2.07061      5.10443 
     1.95606      4.86355 
     1.88342      5.10965 
     1.91961      5.15159 
     1.90091      5.12053 
     1.89039      4.68194 
      1.8489      4.57968 
     1.75431      4.63557 
      1.8778      4.78965 
     1.79674      4.94597 
     1.74511      5.03942 
     1.73509      4.49406 
     1.80148      4.78885 
     1.74585      5.00897 
